域名,语言,近5年建站,历史统一度,标题总数量,标题敏感词,域名年龄,快照时间-1,标题-1,快照时间-2,标题-2,快照时间-3,标题-3,快照时间-4,标题-4,快照时间-5,标题-5,快照时间-6,标题-6,快照时间-7,标题-7,快照时间-8,标题-8,快照时间-9,标题-9,快照时间-10,标题-10,快照时间-11,标题-11,快照时间-12,标题-12,快照时间-13,标题-13,快照时间-14,标题-14,快照时间-15,标题-15,快照时间-16,标题-16,快照时间-17,标题-17,快照时间-18,标题-18,快照时间-19,标题-19
sidegignation.com,其他,1/5,1,0%,无,3,2018,Wayback Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoebeedu.com,中文,3/5,4,55%,澳门,4,2019,澳门威尼斯vn26，澳门威尼斯人vn55，威尼斯人 0727-最新游戏,2018,澳门威尼斯vn26，澳门威尼斯人vn55，威尼斯人 0727-最新游戏,2017,时尚，生活，健康，展现女性最新资讯-秀爱网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salesforcefordistributors.com,其他,2/5,3,0%,无,3,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wt2che.com,中文,1/5,4,0%,无,8,2016,万通二手车,2013,Wt2che.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elite-condo.com,其他,3/5,11,0%,无,9,2019,Home | Jean Gaetjens | Long & Foster,2018,,2017,,2013,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shophuli.com,英文,3/5,19,56%,无,6,2019,thefashionladiez,2018,Gingerboard,2016,ShopHuli: Get the best price while shopping online.,2015,ShopHuli: Get the best price while shopping online.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gurumetuuhan.com,中文,0/5,10,0%,无,10,2013,,2012,僌儖儊捠斕両僇僯乮奍乯丄擏丄壥暔丄僗僀乕僣丄暷丄枴慩丄偦偺懠,2011,僌儖儊捠斕両僇僯乮奍乯丄擏丄壥暔丄僗僀乕僣丄暷丄枴慩丄偦偺懠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
njnews24.com,其他,5/5,113,0%,无,6,2020,,2019,Home is under construction,2018,,2017,,2016,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
opendatachapelhill.com,英文,1/5,1,0%,无,3,2018,HugeDomains.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975992.com,英文,1/5,1,0%,无,3,2018,975992.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuu9.com,中文,3/5,9,0%,全天,5,2019,全天重庆彩计划,2018,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosdengshop.com,中文,4/5,11,49%,娱乐,6,2019,没有找到站点,2018,通博tb娱乐平台_通博国际娱乐_ 通博娱乐最新官方网站欢迎您,2017,【波司登羽绒服】_波司登官方旗舰店,2016,波司登羽绒服旗舰店_【波司登羽绒服折扣店】,2015,波司登羽绒服旗舰店_【波司登羽绒服折扣店】,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zicoindonesia.com,其他,2/5,2,0%,无,3,2019,Indonesia | ZICO Law,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artisanvitrier95.com,其他,4/5,18,0%,无,9,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,,,,,,,,,,,,,,,,,,,,,,
streetweartemple.com,英文,1/5,1,0%,无,3,2018,Create an Ecommerce Website and Sell Online! Ecommerce Software by Shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakugame.com,其他,1/5,2,0%,无,5,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgmtindia.com,其他,0/5,24,0%,无,20,2005,,2004,,2003,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justplainolvic.com,其他,5/5,34,0%,无,6,2020,,2019,,2018,,2017,,2016,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
fermentingvegetables.com,其他,1/5,4,0%,无,7,2016,,2015,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeinfotech.com,其他,4/5,54,100%,无,9,2019,Zero Error Infotech : Web designing Company Delhi ， Web Development company Delhi ， Website designing companies in Delhi ， Web development companies Delhi ， PHP development Company ， Website designing companies in New Delhi,2018,Zero Error Infotech : Web designing Company Delhi ， Web Development company Delhi ， Website designing companies in Delhi ， Web development companies Delhi ， PHP development Company ， Website designing companies in New Delhi,2017,,2016,Zero Error Info Tech,2015,Home:: Zero Error Info Tech,2014,Zerror Info Tech,2013,Ze Infotech-Where excellence is in and errors out.,2012,Website Design company，web development company，Seo company in delhi，india,,,,,,,,,,,,,,,,,,,,,,
hywjgj.com,其他,0/5,3,0%,无,8,2014,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliklurye.com,其他,2/5,2,0%,无,3,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-cancun.com,其他,3/5,36,0%,无,20,2019,Welcome e-cancun.com - BlueHost.com,2018,,2017,,2014,,2013,,2012,,2008,,2007,,2006,,2004,,2002,,2001,,,,,,,,,,,,,,,
cumulus-latex.com,其他,3/5,6,0%,无,3,2020,,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoenixfitnesskamloops.com,其他,2/5,3,0%,无,3,2019,Phoenix Fitness,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webfashiondesign.com,其他,0/5,35,0%,无,18,2013,,2011,,2010,,2009,,2008,,2006,,2005,,2004,,2003,,,,,,,,,,,,,,,,,,,,,
ak-mey.com,其他,3/5,3,0%,无,3,2020,Ak-Mey,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wasabiconnect.com,英文,1/5,1,0%,无,3,2018,wasabiconnect.com -  Resources and Information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transporteejecutivodelllano.com,其他,0/5,3,0%,无,9,2014,,2013,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cigarromexico.com,其他,1/5,28,0%,无,8,2016,,2015,,2014,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranajii.com,其他,1/5,7,0%,无,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suixgou.com,其他,1/5,21,0%,电影,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viperzipline.com,其他,1/5,1,0%,无,3,2018,ZipLineGear – Home of Backyard Zip Line Kits， Trolleys， and Equipment – ZIPLINEGEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jjt168.com,中文,4/5,15,0%,2018,8,2019,2018最新在线国产自拍，久久偷拍国产在线视频,2018,,2017,,2016,,2014,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
customvehiclecolorchange.com,英文,1/5,1,0%,无,3,2018,AV Custom Wraps: Fremont & Bay Area Car Wrapping Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stcs58.com,中文,2/5,3,0%,大发,3,2019,大发彩票网骗局输了钱-大发彩票客服电话-大发彩票官网安卓,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newshubss.com,英文,1/5,1,0%,无,1,2020,News Hubs - Latest News From Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audition-life.com,英文,1/5,1,0%,无,3,2018,403 Error - Forbidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filayder.com,其他,1/5,2,0%,无,3,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeopardytips.com,其他,1/5,1,0%,无,3,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrm-developer.com,其他,2/5,2,0%,无,3,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y0363.com,中文,2/5,2,0%,澳门,3,2019,澳门银河娱乐城-打造高品质多元化娱乐服务-诚信品牌信誉-玩家首选,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calisixpack.com,其他,2/5,2,0%,无,3,2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessmencloset.com,其他,1/5,4,0%,sm,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sj-toumon.com,其他,0/5,3,0%,无,9,2013,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lehuoqu.com,其他,1/5,1,0%,无,3,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadiwood.com,英文,2/5,11,100%,无,7,2019,KADIWOOD | Wood and Kitchen Products,2016,KADIWOOD | Wood and Kitchen Products,2015,KADIWOOD | Wood and Kitchen Products,2014,KADIWOOD | Wood and Kitchen Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karam-ay.com,英文,1/5,1,0%,无,1,2020,Sasha Karamyshev - my interesting journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
